INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Rank
30447,447,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1307
20028,028,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1308
32490,2490,50,61,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1309
30130,130,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1310
30329,329,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1311
30131,131,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1312
31519,1519,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1313
30379,379,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1314
32732,2732,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1315
30288,288,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1316
31566,1566,51,60,42,0.4470832707433499,0.5483870967741935,0.6457635774671198,1317
30373,373,51,60,42,0.4470832707433499,0.5483870967741935,0.6457635774671198,1318
30401,401,40,48,33,0.433894162462837,0.547945205479452,0.6570804082937667,1319
32860,2860,40,46,33,0.433894162462837,0.547945205479452,0.6570804082937667,1320
30148,148,40,61,33,0.433894162462837,0.547945205479452,0.6570804082937667,1321
32549,2549,46,58,38,0.4411432887573016,0.5476190476190477,0.64982986098217,1322
30086,86,46,62,38,0.4411432887573016,0.5476190476190477,0.64982986098217,1323
30445,445,46,51,38,0.4411432887573016,0.5476190476190477,0.64982986098217,1324
30512,512,47,60,39,0.4412848176819991,0.5465116279069767,0.6476663109845757,1325
30343,343,47,63,39,0.4412848176819991,0.5465116279069767,0.6476663109845757,1326
31702,1702,47,60,39,0.4412848176819991,0.5465116279069767,0.6476663109845757,1327
30022,22,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1328
32622,2622,48,65,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1329
31207,1207,48,64,40,0.4414334026251195,0.5454545454545454,0.6455835927900364,1330
